w_out,LCOH,LCOH_i
4619.794844,0.008743617,0.187127011
1314.325077,0.025793554,0.552022229
2238.718815,0.012186865,0.260817897
5353.033247,0.007300938,0.156251438
2823.456507,0.015413996,0.329883524
3138.055057,0.022194425,0.474995263
860.7807637,0.030465185,0.652002408
1060.137209,0.033003251,0.706320969
1006.102974,0.03104828,0.664481531
2683.996338,0.028311598,0.605912284
4605.68251,0.012263129,0.262450047
831.3372718,0.028654189,0.613244268
1166.839244,0.034608224,0.740669891
1813.500754,0.033847025,0.724379044
870.0972826,0.037439839,0.801270863
1024.993856,0.093285264,1.996449911
1722.531043,0.014306681,0.306185254
6396.033619,0.013269429,0.283986447
569.1184075,0.100398944,2.148693745
3563.383837,0.020435779,0.437357488
1281.02026,0.023198483,0.49648365
127.6675977,0.346937256,7.424997517
2861.508681,0.01872781,0.400804295
4599.895796,0.019374713,0.414649019
2232.430323,0.014199603,0.303893614
1207.97645,0.026758635,0.572676449
855.9536923,0.026760265,0.57271134
274.0148283,0.252072881,5.394752179
787.6746456,0.023386656,0.500510863
3203.617495,0.010997444,0.235362425
1976.206715,0.024190031,0.517704337
904.7019691,0.041307167,0.884037693
1682.231739,0.033776626,0.722872391
5176.643194,0.011286508,0.241548849
3820.111074,0.017112416,0.366232346
1425.120415,0.029444728,0.630163026
202.243507,0.237402898,5.080791694
1110.996445,0.065782819,1.407854767
3921.319551,0.013969858,0.298976712
1618.310875,0.01662643,0.355831496
2113.280012,0.029567024,0.632780352
566.2368979,0.046721868,0.999920723
3172.958656,0.022650761,0.484761551
831.4500264,0.027170761,0.581496586
2061.554021,0.020209582,0.432516516
4304.848261,0.011214436,0.240006387
398.4316557,0.085995407,1.840435623
1491.274237,0.044108305,0.943986408
275.4853401,0.142385771,3.047277208
1180.892263,0.033906327,0.725648199
1314.436603,0.077351719,1.655447231
1698.161667,0.016694862,0.357296047
2665.75339,0.019608814,0.41965916
4004.688051,0.013823338,0.295840949
2529.610851,0.027932698,0.597803227
3304.809668,0.024923065,0.533392405
5489.650352,0.011596966,0.24819312
5531.970976,0.009906295,0.212010145
4408.422486,0.015150124,0.324236255
474.0899393,0.057828658,1.237623322
4489.897142,0.017007807,0.363993551
3991.312878,0.008544767,0.182871316
716.7050166,0.08293562,1.774951417
182.8187037,0.128718303,2.754772121
3950.631695,0.021160619,0.452870204
5.239229899,11.7290645,251.0202442
8646.550087,0.008134357,0.174087917
177.636355,0.177743141,3.803979997
813.2836788,0.039116628,0.83715676
2855.416567,0.024645392,0.527449769
2930.425362,0.011885681,0.25437209
716.2981806,0.030367061,0.649902393
709.9864032,0.021517611,0.460510378
3303.962412,0.008542518,0.182823182
3800.145293,0.019644941,0.420432335
1536.935884,0.02328169,0.498264415
6088.995565,0.016687005,0.357127885
2340.642509,0.017995787,0.385137868
935.0379073,0.048375393,1.035308728
1735.342727,0.023124768,0.494906048
8152.687908,0.007234496,0.154829485
348.9679284,0.102625237,2.196339884
41.73649874,0.662303223,14.17432027
1869.70673,0.017651411,0.377767691
4524.982547,0.0147845,0.316411321
4319.448784,0.011217158,0.240064644
1623.71966,0.015413196,0.329866393
2038.657475,0.014624637,0.312990006
854.5853769,0.082491567,1.765447993
568.4386753,0.048761745,1.043577265
360.4371281,0.09908981,2.120676241
949.8208134,0.047766831,1.022284571
1820.021124,0.030293966,0.648338053
582.3782076,0.082916859,1.77454989
471.3566505,0.039615392,0.847831074
389.9748252,0.068392432,1.463704545
1050.510543,0.036429613,0.779650452
2838.019187,0.01965096,0.420561139
773.2625406,0.102046778,2.183959961
1447.828834,0.045499704,0.973764515
2486.934133,0.034724367,0.743155522
791.9401167,0.059753635,1.278820834
1685.181463,0.038732183,0.828929019
412.5981418,0.087510014,1.872850564
4688.861409,0.012160324,0.260249865
1863.706397,0.01208992,0.258743103
